review_id,user_stars,user_review_count,user_useful,business_stars,business_review_count,unigram,class
v0i_UHJMo_hPBq9bxWvW4w,4.67,6,0,4.0,1953,2.497094486540733,5.0
vkVSCC7xljjrAI4UGfnKEQ,4.67,6,0,4.0,84,3.333678351549736,5.0
n6QzIUObkYshz4dz2QRJTw,4.67,6,0,4.5,50,2.988476182326154,5.0
MV3CcKScW05u5LVfF6ok0g,4.67,6,0,4.0,70,3.007784259385754,5.0
IXvOzsEMYtiJI0CARmj77Q,4.67,6,0,3.5,61,2.8904519112369442,4.0
L_9BTb55X0GDtThi6GlZ6w,4.67,6,0,4.5,397,3.9946762439673766,4.0
HRPm3vEZ_F-33TYVT7Pebw,5.0,1,0,4.5,38,3.1102416630887237,5.0
ymAUG8DZfQcFTBSOiaNN4w,3.62,359,79,4.0,111,3.00826864879778,4.0
8UIishPUD92hXtScSga_gw,3.62,359,79,4.0,64,3.5551023194676414,4.0
w41ZS9shepfO3uEyhXEWuQ,3.62,359,79,3.5,251,2.99994173001457,3.0
WF_QTN3p-thD74hqpp2j-Q,3.62,359,79,5.0,3,4.442655674722377,5.0
PIsUSmvaUWB00qv5KTF1xA,3.62,359,79,3.5,35,2.977820772494267,4.0
PdZ_uFjbbkjtm3SCY_KrZw,3.62,359,79,3.5,76,3.064733913755648,3.0
x5oV6wm9_Pb1QQ6jkjDjwQ,3.62,359,79,3.0,4,1.0000000000001292,1.0
lsoSqIrrDbQvWpMvsSj2xw,3.62,359,79,4.0,1184,2.959110287609286,3.0
23eqwlZzCWZkADWfd9atZw,3.62,359,79,4.0,48,3.514156438741406,5.0
FunI9om-aK5oMIIJmhMlZA,3.62,359,79,4.0,1953,3.9708315120248296,4.0
FKu4iU62EmWT6GZXPJ2sgA,3.62,359,79,1.0,4,1.0000013385482451,1.0
xdu8nXrbNKeaywCX79KZSw,3.62,359,79,3.5,34,2.9092263758845864,3.0
K7o5jDInfmX3cY5oH6ATNw,3.62,359,79,4.0,418,2.9162196851124116,3.0
WYDFJOBOl7cycd7gN-c_xA,3.62,359,79,3.0,759,2.000001533445172,1.0
HSR2RLOifd0cvSNVqGXkMQ,3.62,359,79,3.5,259,2.9999978839689327,3.0
Kki2nwtP8U2qmWwRvPwLRA,3.62,359,79,4.0,135,3.6393843522658504,4.0
Q-mhDIKa3wJuWEx9uuciIA,3.62,359,79,3.5,47,3.0624598136204204,3.0
ypjtMQLKdAwKGRS-KU7oxA,3.62,359,79,3.0,68,1.079543431746765,1.0
vr9YpzkaVdDIauxiZYZhqA,3.62,359,79,3.5,14,3.000033253411128,3.0
Ia-w-nR1FrlzsiuEiqqlbg,3.62,359,79,3.5,58,2.8585490451542404,3.0
