review_id,user_stars,user_review_count,user_useful,business_stars,business_review_count,unigram,class
v0i_UHJMo_hPBq9bxWvW4w,4.67,6,0,4.0,1953,5.0,5.0
vkVSCC7xljjrAI4UGfnKEQ,4.67,6,0,4.0,84,5.0,5.0
n6QzIUObkYshz4dz2QRJTw,4.67,6,0,4.5,50,5.0,5.0
MV3CcKScW05u5LVfF6ok0g,4.67,6,0,4.0,70,5.0,5.0
IXvOzsEMYtiJI0CARmj77Q,4.67,6,0,3.5,61,4.0,4.0
L_9BTb55X0GDtThi6GlZ6w,4.67,6,0,4.5,397,4.0,4.0
HRPm3vEZ_F-33TYVT7Pebw,5.0,1,0,4.5,38,5.0,5.0
ymAUG8DZfQcFTBSOiaNN4w,3.62,359,79,4.0,111,4.0,4.0
8UIishPUD92hXtScSga_gw,3.62,359,79,4.0,64,4.0,4.0
w41ZS9shepfO3uEyhXEWuQ,3.62,359,79,3.5,251,3.0,3.0
WF_QTN3p-thD74hqpp2j-Q,3.62,359,79,5.0,3,5.0,5.0
PIsUSmvaUWB00qv5KTF1xA,3.62,359,79,3.5,35,4.0,4.0
PdZ_uFjbbkjtm3SCY_KrZw,3.62,359,79,3.5,76,3.0,3.0
x5oV6wm9_Pb1QQ6jkjDjwQ,3.62,359,79,3.0,4,1.0,1.0
lsoSqIrrDbQvWpMvsSj2xw,3.62,359,79,4.0,1184,3.0,3.0
23eqwlZzCWZkADWfd9atZw,3.62,359,79,4.0,48,5.0,5.0
FunI9om-aK5oMIIJmhMlZA,3.62,359,79,4.0,1953,4.0,4.0
FKu4iU62EmWT6GZXPJ2sgA,3.62,359,79,1.0,4,1.0,1.0
xdu8nXrbNKeaywCX79KZSw,3.62,359,79,3.5,34,2.9999999999999956,3.0
K7o5jDInfmX3cY5oH6ATNw,3.62,359,79,4.0,418,2.999999999993457,3.0
WYDFJOBOl7cycd7gN-c_xA,3.62,359,79,3.0,759,1.0,1.0
HSR2RLOifd0cvSNVqGXkMQ,3.62,359,79,3.5,259,3.0,3.0
Kki2nwtP8U2qmWwRvPwLRA,3.62,359,79,4.0,135,4.0,4.0
Q-mhDIKa3wJuWEx9uuciIA,3.62,359,79,3.5,47,3.0,3.0
ypjtMQLKdAwKGRS-KU7oxA,3.62,359,79,3.0,68,1.0000000002751703,1.0
vr9YpzkaVdDIauxiZYZhqA,3.62,359,79,3.5,14,3.0,3.0
Ia-w-nR1FrlzsiuEiqqlbg,3.62,359,79,3.5,58,3.000000000000001,3.0
y21Fom8a_SdAyC6I0v554w,3.62,359,79,3.0,34,2.0,2.0
_ku1sDwkmQo2wIgWAaluZw,3.62,359,79,4.0,511,4.999999999993591,5.0
Enuk_DJbK0JPmgbFU8ePKw,3.62,359,79,4.0,973,3.0,3.0
iYlepMJ6j4whB8gxiZm6mw,3.62,359,79,4.0,32,4.0,4.0
reeZj98t_X1DrZgQgFs9Kg,3.62,359,79,4.0,36,4.0,4.0
z9e32TaBomM5uY7fHYqYKg,3.62,359,79,2.5,53,1.0,1.0
rQgIiq1FJR8NwBJuWlUn7Q,3.62,359,79,4.0,162,3.999999999999569,4.0
7GsVl-wMaSfG1VoEK6-s6g,3.62,359,79,4.5,5,4.0,4.0
zEDdYhDYYfvd8bSQqpc_ww,3.62,359,79,4.0,70,4.0,4.0
b1Volwlw8gt_IGh9PhRQmw,3.62,359,79,3.5,5,5.0,5.0
iFL5Iw972vd09fg87ElP9A,3.62,359,79,4.0,53,4.0,4.0
pREKh8GSMq5UY9CqsnlQUQ,3.62,359,79,4.0,143,4.0,4.0
DcON7DHHHsvl8fByRl41MQ,3.62,359,79,3.5,44,4.0,4.0
sny_ekbd4i_1EBx1gwayXw,3.62,359,79,4.0,16,4.0,4.0
Tv-_7d1sa-6cPTZ20exTLA,3.62,359,79,4.0,76,2.0,2.0
uwp2sAXf5shT1ynRWo7sHg,3.62,359,79,3.5,73,4.0,4.0
gDBVb6Qdg5VAr2L95NEeFw,3.62,359,79,3.5,34,4.0,4.0
Ebggx4Zlc4VWReJMG1nT6w,3.62,359,79,2.5,94,1.0,1.0
Q0j8DFqW_zWNa-H1QuuPgg,3.62,359,79,3.0,194,1.0,1.0
EKAN4jw3LsE3631feSaA_g,3.62,359,79,4.0,443,4.0,4.0
51TLGhFncBnppaBN5vHlcw,3.62,359,79,4.0,297,4.0,4.0
zo84NPvoDgm1W9poSCjPQQ,3.62,359,79,3.5,39,4.000000000000406,4.0
0wsN8ZT101c8LhqwQZJjvw,3.62,359,79,3.5,37,3.9999999999999996,4.0
O4RZMP8IFyJTNfRp0QXEsw,3.62,359,79,4.0,140,4.0,4.0
66KqTwiQ1oB9-aTsoEN35Q,3.62,359,79,3.0,56,3.0,3.0
jREsaout3cuhKbROVDXUFg,3.62,359,79,3.0,33,4.0,4.0
3KQ3_xutS5R3mX7HsPWpgw,3.62,359,79,3.5,78,4.0,4.0
Ny3gmyxodfnp4JK0Geaovg,3.62,359,79,2.5,154,2.0,2.0
cafDR6sZnIO02tf03ZXRZw,3.62,359,79,3.0,59,3.0,3.0
p659sFGjbL8chCRZPPyFmg,3.62,359,79,3.0,89,4.0,4.0
6HHuaN9i-MEYRz4sPRcZEw,3.62,359,79,3.5,265,4.0,4.0
fBjzlwPU4HM9MOxG8NzVLQ,3.62,359,79,1.5,59,4.0,4.0
EY1mL968hGQt5xWgILX7gw,3.62,359,79,3.0,41,2.0,2.0
hnMUfLEic872azsTt7ghmw,3.62,359,79,3.5,127,4.0,4.0
ckUKRR2BV7wg9ehIRiZ6aw,3.62,359,79,3.5,84,1.0,1.0
8KwvvDYbvwDM5WxAOhHBRA,3.62,359,79,3.0,123,1.0,1.0
UmJM6J7KJT0KhGvOZ4n3IQ,3.62,359,79,3.0,101,3.0,3.0
-Km-gkgaAJAx37yEHIERDg,3.62,359,79,3.5,50,3.0,3.0
yWUdKhjq8QqZe6vai8W69w,3.62,359,79,3.0,82,2.000000000145777,2.0
cKeZ1e-HRBodUpnz1j8BJA,3.62,359,79,3.5,273,5.0,5.0
mIUjvArg1mXlEZTKbqF0zg,3.62,359,79,4.0,178,4.0,4.0
zbU2q635UH8tk2Cboo7Xlw,3.62,359,79,4.0,92,4.0,4.0
Y8vA-J6yGkr5-nE95tbjGA,3.62,359,79,2.5,85,3.0,3.0
S5BSUs-iDrwn6o5968LmEg,3.62,359,79,3.5,35,3.0,3.0
JCna3sfrjqtnsG7l-pSs-A,3.62,359,79,4.0,63,3.0,3.0
SlXVmKGv10icLuSrqeuqgQ,3.62,359,79,4.5,57,4.0,4.0
1XEm85LhDeiUHdG0R_rXSQ,3.62,359,79,4.0,8,4.0,4.0
kZPaUjcmUin_G8NvV8Pk9g,3.62,359,79,3.5,6,1.0,1.0
WkIJj-pH7JoyxHmh2_JRcQ,3.62,359,79,4.0,82,4.0,4.0
1oPgWJHJiKZShjdJxZHylA,3.62,359,79,2.5,104,2.0,2.0
8aIpsx2-l__KLKo7Ljs8pQ,3.62,359,79,3.5,122,3.0,3.0
